Date,Q,P,T
08.02.1982 00:00:00,24.1,0,-9.87
09.02.1982 00:00:00,23.53,1,-9.12
10.02.1982 00:00:00,23.34,0,-11.04
11.02.1982 00:00:00,22.79,0,-14.57
12.02.1982 00:00:00,21.73,0,-14.37
13.02.1982 00:00:00,21.38,0,-7.23
14.02.1982 00:00:00,20.9,5.7,-3.59
15.02.1982 00:00:00,20.73,2.3,0.86
16.02.1982 00:00:00,19.78,3,-1.36
17.02.1982 00:00:00,19.18,0.6,1.91
18.02.1982 00:00:00,18.95,11.1,2.28
19.02.1982 00:00:00,23.9,1.8,1.7
20.02.1982 00:00:00,23.67,0,-1.67
21.02.1982 00:00:00,21.67,0,-1.83
22.02.1982 00:00:00,20.86,0,1.73
23.02.1982 00:00:00,20.58,0,2.28
24.02.1982 00:00:00,20.62,1.2,5.24
25.02.1982 00:00:00,21.58,0,4.12
26.02.1982 00:00:00,21.67,1.1,1.93
27.02.1982 00:00:00,21.7,0,0.86
28.02.1982 00:00:00,21.22,1.5,3.79
NaT,20.86,0,6.3
01.03.1982 00:00:00,20.83,0,5.92
02.03.1982 00:00:00,20.86,0,5.89
03.03.1982 00:00:00,20.86,0,3.94
04.03.1982 00:00:00,20.25,0,4.72
05.03.1982 00:00:00,19.57,0,0.82
06.03.1982 00:00:00,18.76,0,1.55
07.03.1982 00:00:00,18.12,3.1,1.65
08.03.1982 00:00:00,17.33,0.7,2.64
09.03.1982 00:00:00,16.59,0,0.74
10.03.1982 00:00:00,15.95,0.9,3.01
11.03.1982 00:00:00,15.22,0,5.52
12.03.1982 00:00:00,14.82,0,6.8
13.03.1982 00:00:00,14.37,0,5.92
14.03.1982 00:00:00,14.07,0,4.98
15.03.1982 00:00:00,13.42,0,5.33
16.03.1982 00:00:00,13.01,0,6.76
17.03.1982 00:00:00,12.74,0,8.49
18.03.1982 00:00:00,12.67,1.7,7.12
19.03.1982 00:00:00,12.07,0,4.58
20.03.1982 00:00:00,11.63,0,3.06
21.03.1982 00:00:00,10.85,0,6.21
22.03.1982 00:00:00,10.77,0,8.33
23.03.1982 00:00:00,10.65,0,8.33
24.03.1982 00:00:00,10.14,0,8.39
25.03.1982 00:00:00,10.14,0,8.23
26.03.1982 00:00:00,9.63,0,6.56
27.03.1982 00:00:00,9.12,0,7.3
28.03.1982 00:00:00,8.9,0,8.46
29.03.1982 00:00:00,8.9,1.4,7
30.03.1982 00:00:00,8.9,1.1,7.11
31.03.1982 00:00:00,8.9,0,5.23
01.04.1982 00:00:00,8.9,0,2.33
02.04.1982 00:00:00,8.8,0,5
03.04.1982 00:00:00,8.81,3.7,9.06
04.04.1982 00:00:00,8.48,0,9.64
05.04.1982 00:00:00,8.3,0,4.66
06.04.1982 00:00:00,8.28,0,2.58
07.04.1982 00:00:00,8.17,1.2,0.99
08.04.1982 00:00:00,7.74,0,-0.47
09.04.1982 00:00:00,7.71,1.7,1.73
10.04.1982 00:00:00,7.71,0,10.86
11.04.1982 00:00:00,7.71,3.9,7.17
12.04.1982 00:00:00,7.59,5.8,6.53
13.04.1982 00:00:00,7.65,0,5.43
14.04.1982 00:00:00,7.23,0,6.09
15.04.1982 00:00:00,7.14,0,6.2
16.04.1982 00:00:00,7.14,0,4.43
17.04.1982 00:00:00,7.14,0,2.98
18.04.1982 00:00:00,7.11,0,4.93
19.04.1982 00:00:00,6.96,0,7.25
20.04.1982 00:00:00,6.57,0,7.69
21.04.1982 00:00:00,6.31,4,6.35
22.04.1982 00:00:00,6.03,0,6.95
23.04.1982 00:00:00,6.03,1.7,5.13
24.04.1982 00:00:00,6.03,3.4,6.81
25.04.1982 00:00:00,6.03,0,9.99
26.04.1982 00:00:00,5.92,0,12.35
27.04.1982 00:00:00,5.53,0,13.51
28.04.1982 00:00:00,5.5,0,19.72
29.04.1982 00:00:00,5.5,0,18.09
30.04.1982 00:00:00,5.5,0.9,16.83
01.05.1982 00:00:00,5.28,0,17.49
02.05.1982 00:00:00,5.1,3.9,18.66
03.05.1982 00:00:00,5.22,1.3,12.64
04.05.1982 00:00:00,5.01,0,12.37
05.05.1982 00:00:00,5.01,7,10.62
06.05.1982 00:00:00,5.17,13.2,9.44
07.05.1982 00:00:00,5,0.7,10.56
08.05.1982 00:00:00,4.99,0,12.33
09.05.1982 00:00:00,4.71,0.7,14.48
10.05.1982 00:00:00,4.52,0,17.77
11.05.1982 00:00:00,4.5,4.8,20.51
12.05.1982 00:00:00,4.54,0,9.95
13.05.1982 00:00:00,4.5,0,5.43
14.05.1982 00:00:00,4.5,0,7
15.05.1982 00:00:00,4.5,2.6,8.02
16.05.1982 00:00:00,4.46,2,6.47
17.05.1982 00:00:00,4.42,0,6.16
18.05.1982 00:00:00,4.24,0,10.64
19.05.1982 00:00:00,4.03,0,16.49
20.05.1982 00:00:00,4.03,0,19.4
21.05.1982 00:00:00,4.03,0,19.58
22.05.1982 00:00:00,4.03,1.8,19.33
23.05.1982 00:00:00,3.98,0,20.71
24.05.1982 00:00:00,4.01,0,17.89
25.05.1982 00:00:00,3.76,0,15.32
26.05.1982 00:00:00,3.61,0,14.85
27.05.1982 00:00:00,3.57,0,14.85
28.05.1982 00:00:00,3.55,0,15.44
29.05.1982 00:00:00,3.53,0,16.1
30.05.1982 00:00:00,3.33,0,15.38
31.05.1982 00:00:00,3.39,9.9,15.14
01.06.1982 00:00:00,3.57,1.1,12.44
02.06.1982 00:00:00,3.59,0,11.1
03.06.1982 00:00:00,3.69,12.5,12.16
04.06.1982 00:00:00,3.77,11.1,12.78
05.06.1982 00:00:00,4.01,0,8.56
06.06.1982 00:00:00,4.01,5.6,10.11
07.06.1982 00:00:00,4.03,3.2,16.54
